|Year|Games|Num_Awards|Num_Nominated|Awarded|nominated|Won_Game_of_the_Year|Developer(s)|Publisher(s)|Engine|Platform(s)|Release|Genre(s)|Mode(s)|Series
8920|2013|World War Z (2013 video game)|0|0|0|0|0||Microsoft Game Studios|Unity|Windows 8, Xbox 360|51|Card game|Single-player, multiplayer|
8921|2013|Worms 3|0|0|0|0|0||Paramount Digital Entertainment|Unreal Engine 3|||Zombie First-person shooter||
8922|2013|Worms Clan Wars|0|0|0|0|0||Team17||iOS  Android  Mac OS X|30|Artillery, strategy|Single-player, multiplayer|Worms
8923|2013|WRC 4: FIA World Rally Championship|0|0|0|0|0|Team17|Team17||Windows, Mac OS X, Linux|44|Artillery, strategy|Single-player, multiplayer|Worms
8924|2013|WWE 2K14|0|0|0|0|0|Milestone srl|EU / NA: Bigben InteractiveJP: Square Enix||PlayStation 3, PlayStation Vita, Microsoft Windows, Xbox 360|39|Racing|Single-player, Multiplayer|World Rally Championship
8925|2013|X Rebirth|0|0|0|0|0|Yuke's[a]|2K Sports||PlayStation 3Xbox 360|61|Sports|Single-player, Multiplayer|WWE 2K
8926|2013|Xblaze Code: Embryo|0|0|0|0|0|Egosoft|Egosoft||Linux, macOS, Microsoft Windows|69|Space trading and combat simulator|Single-player|X
8927|2013|XCOM: Enemy Within|0|0|0|0|0|Arc System Works|JP: Arc System WorksNA: Aksys GamesEU: Funbox Media||PlayStation 3, PlayStation Vita, Microsoft Windows|18|Visual novel|Single-player|BlazBlue
8928|2013|The Yawhg|0|0|0|0|0|Firaxis Games|2K GamesFeral Interactive (OS X, Linux)|Unreal Engine 3|Microsoft Windows, Linux, OS X, iOS, Android, PlayStation Vita, PlayStation 3, Xbox 360|18|Turn-based tactics|Single-player, multiplayer|X-COM
8929|2013|Year Walk|0|0|0|0|0||||Windows|30|Role-playing, adventure|Single-player, multiplayer|
8930|2013|Yo-kai Watch (video game)|0|0|0|0|0|Simogo|SimogoJP: Nintendo (Wii U)|Unity|iOS, OS X, Microsoft Windows, Wii U|9|Adventure|Single-player|
8931|2013|Young Justice: Legacy|0|0|0|0|0|Level-5|JP: Level-5WW: Nintendo||Nintendo 3DSNintendo Switch|24|Role-playing|Single-player, multiplayer|Yo-kai Watch
8932|2013|Jisei (video game series)|0|0|0|0|0|Freedom Factory Studios|Little OrbitWarner Bros. Interactive Entertainment[1]||Nintendo 3DS, PlayStation 3, Xbox 360, Microsoft Windows|69|Action-adventure, action role-playing, Superhero|Single-player, multiplayer|
8933|2013|Z/X|0|0|0|0|0|sakevisual|sakevisual||Microsoft WindowsMac OS XLinux||||
8934|2013|Zeno Clash 2|0|0|0|0|0|Broccoli|||||Collectible card game||
8935|2013|Zombie Panic! Source|0|0|0|0|0|ACE Team|Atlus|Unreal Engine 3|Microsoft Windows, PlayStation 3, Xbox 360|24|Action role-playing, beat 'em up|Single-player, multiplayer|
8936|2013|Zoo Tycoon (2013 video game)|0|0|0|0|0|Zombie Panic! Team|Zombie Panic! Team|Source Engine|Microsoft Windows|61|First-person shooter, survival horror, Free-to-play|Multiplayer|Zombie Panic! 
8937|2013|Zoombies: Animales de la Muerte|0|0|0|0|0|Frontier DevelopmentsAsobo Studio (Ultimate Animal Collection)|Microsoft Studios||Xbox 360Xbox One|69|Business simulation|Single-player (Xbox One, Xbox 360), multiplayer (Xbox One[1])|Zoo Tycoon
8938|2013|Zumba Fitness: World Party|0|0|0|0|0|High Voltage Software|MTV Games|High Voltage Software |iOS, Android|30|Shooter|Single-player, multiplayer|
8939|2013|Zumba Kids|0|0|0|0|0|Zoë Mode|"Majesco Entertainment
HamsterJP"|In House|Wii, Wii U, Xbox 360, Xbox One|51|Fitness game|Single-player, multiplayer|
8940|2014|9 Elefants|0|0|0|0|0|Zoë Mode|Majesco Entertainment|In House|Wii, Xbox 360|69|Fitness game|Single-player, multiplayer|
8941|2014|80 Days (2014 video game)|0|0|0|0|0|Microïds|Anuman||iOS|24|Puzzle||
8942|2014|99 Bricks Wizard Academy|0|0|0|0|0|Inkle|Inkle||iOS, Android, Microsoft Windows, OS X, Nintendo Switch|39|Interactive fiction|Single-player|
8943|2014|99Seconds|0|0|0|0|0|WeirdBeard|||iOS|9|Puzzle|Single-player|
8944|2014|1000 Days of Syria|0|0|0|0|0||||||||
8945|2014|1001 Spikes|0|0|0|0|0|Mitch Swenson|||Web browser|30|EducationInteractive fiction|Single-player|
8946|2014|2014 FIFA World Cup Brazil (video game)|0|0|0|0|0|8bits FanaticsNicalis|Nicalis||LinuxMicrosoft WindowsNintendo 3DSOS XPlayStation 4PlayStation VitaWii UXbox One|34|Platform, adventure|Single-player, multiplayer|
8947|2014|2048 (video game)|0|0|0|0|0|EA Canada|EA Sports||PlayStation 3, Xbox 360|24|Sports|Single-player, multiplayer|FIFA World Cup
8948|2014|6180 the moon|0|0|0|0|0|Gabriele Cirulli|Solebon LLC||Browser, iOS, Nintendo 3DS, Android, Apple TV, KaiOS, Teslatari|18|Puzzle|Single-player|
8949|2014|Abyss Odyssey|0|0|0|0|0|Turtle Cream, PokPoong Games|Turtle Cream||macOS, Microsoft Windows, New Nintendo 3DS, Linux, Wii U, Nintendo Switch|51|Puzzle-platformer||
