|Developer(s)|Publisher(s)|Engine|Platform(s)|Release|Genre(s)|Mode(s)|Series
2416|Tarn Adams|Bay 12 GamesKitfox Games (Steam, itch.io)|||August|Construction and management simulation, roguelike|Single-player|
2417|Tecmo Koei|Tecmo Koei|||February|MMOG|Multiplayer|Dynasty Warriors
2418|Omega Force|Koei|||March|Hack and slash Tactical action[1]|Single-player, Multiplayer|Dynasty Warriors
2419|EA Canada|Electronic Arts|||March|Various|Single-player|
2420|Data Design Interactive|Data Design Interactive|||October|Racing game||
2421|Sandlot|D3 Publisher|||January|Third-person shooter|Single-player, co-op|Earth Defense Force
2422|Klei Entertainment||||March|Puzzle|Single player|
2423|Minori|||Windows, PlayStation 2||Eroge, Visual novel||
2424|Plastic Reality Technologies|"
Cenega Publishing
1C Company(Steam)
"|||September|Third-person shooter|Single-player|
2425|Bethesda Game Studios|Bethesda SoftworksUbisoft (Europe)|Gamebryo||March|Action role-playing|Single-player|The Elder Scrolls
2426|Bethesda Game Studios|Bethesda Softworks2K Games|Gamebryo||March|Action role-playing|Single-player|The Elder Scrolls
2427|Konami Digital Entertainment|Konami|Open Dynamics Engine Physics Engine[citation needed]||April|Action/First person shooter|Single-player, Multiplayer|
2428|Jupiter|||Game Boy Advance||Role-playing video game||
2429|iNiS|Nintendo|Osu! Tatakae! Ouendan engine||May|Music video game|Single player, multiplayer|
2430|Sixteen Tons Entertainment|EU: Take-Two InteractiveUK: Bluestone Interactive|||April|Real-time strategy|Single player, Multiplayer|Emergency
2431|Mad Doc Software|Vivendi Universal Games[a]|Gamebryo||February|Real-time strategy|Single-player, multiplayer|Empire Earth
2432|FromSoftware|JP: FromSoftwarePAL: UbisoftNA: Ubisoft|||January|Role-playing|Single-player, multiplayer|
2433||Tale of Tales|||February|Multiplayer online game|Single-player, Multiplayer|
2434||Pangea Software, Beatshapers (PlayStation Minis)|||Mac OS 9' Mac OS X2003Windows2003iOS2008 PlayStation Minis2010Windows Phone 72011 Android2011|Puzzle|Single player|
2435|Namco Bandai|Namco|||December|Mini-games|Single Player, Multiplayer|Taiko no Tatsujin
2436|Stormfront Studios, Amaze Entertainment|Vivendi Games[a]|||November|Hack and slash, action-adventure|Single-player, multiplayer|
2437|Spike|JP: SpikeWW: Eidos Interactive|||July|Adventure, survival horror|Single-player|
2438|Essential Games|D3 Publisher|||October|Puzzle|Single-playerMultiplayer|
2439|||Source engine||September|First-person shooter, Space combat simulator|Multiplayer|
2440|Kanta Matsuhisa (E2)Q Entertainment (E3 & E4)Sonic Blue (E4)|Every Extend ExtraJP Bandai Namco GamesNA/PAL Buena Vista GamesEvery Extend Extra ExtremeQ Entertainment||||Puzzle, shoot 'em up||
2441|Clap Hanz|Sony Computer Entertainment|||April|Sports|Single-player, multiplayer|Everybody's Golf
2442|Queasy Games|Sony Computer Entertainment|||January|Shooter, music|Single-player|
2443|Lexis Numérique|Ubisoft (UK/EU),  The Adventure Company (US)|||September|ARG, Adventure, Puzzle|Single Player|
2444|Monster GamesNintendo SPD|Nintendo|||January|Racing|Single-player, Multiplayer|Excite
2445||Taito Corporation|||February|Puzzle, platform, action|Single-player|Exit
2446||Nexeon Technologies|Lithtech Jupiter||March|MMO/Action RPG|Multiplayer|
2447|Best Way|Ubisoft1C Company|GEM 2||September|Real-time strategyReal-time tactics[3]|Single player, multiplayer|Men of War 
2448|High Voltage Software|2K Games|||October|Action-adventure|Single-player|
2449|Brad Borne Over the Top Games (Console)|Armor Games (Flash games)  Kongregate (Remix and Steam)  EA 2D (Console)  Chillingo (iOS)|Flash||January|Platformer|Single-player, Multiplayer (Consoles only)|The Fancy Pants Adventures
2450|Fenix Soft|Gamepot GamepotUSASquare EnixGamania HangamePlayOnline|||February|MMORPG|Multiplayer|
2451|Ubisoft Montreal|Ubisoft|CryEngine||January|First-person shooter|Single-player, multiplayer|Far Cry
2452|Eutechnyx|Namco Bandai Games|||March|Racing|Single-player, multiplayer|The Fast and the Furious
2453|Glen Pawley|Pawleyscape|||October|Role-playing video game|Single-player|
2454|TimeGate Studios|Vivendi Games[a]Warner Bros. Games|LithTech Jupiter EX||October|First-person shooter, survival horror|Single-player, multiplayer|F.E.A.R.
2455|Sprout Games|PopCap Games|||February|Arcade|Single-player, multiplayer (XBLA, PSN)|Feeding Frenzy
2456|Sony Online Entertainment|Sony Online Entertainment|||May|Turn-based tactics|Single-player, multiplayer|
2457|EA Canada, Exient Entertainment (DS/GBA)|Electronic Arts|||January|Sports game (football)|Single-player, multiplayer, online multiplayer|FIFA
2458|EA Singapore, Neowiz Games|Electronic Arts|||2006 (as FIFA Online)|Association football|Single player, multiplayer|FIFA Online
2459|EA CanadaExient Entertainment (DS)|EA Sports BIG|||February|Sports (street football)|Single-player, multiplayer|FIFA Street
2460|EA CanadaExient Entertainment (DS, PSP, GBA)|EA Sports|||April|Sports|Single-player, multiplayer|FIFA World Cup
2461|EA Chicago|EA Sports|||February|Sports|Single-player, multiplayer|Fight Night 
2462|Square Enix|Square Enix|||February|Role-playing|Single-player|Final Fantasy
2463|h.a.n.d.[1]|Square Enix|||April|Adventure game, Collection of minigames, Card battle|Single-player, multiplayer|Chocobo series
2464||Capcom|||February|Beat 'em up, action-adventure|Single-player, multiplayer|Final Fight
2465|Capcom|Capcom|||June|Adventure game, Dating sim|Single-player|
2466|ZootFly|DreamCatcher Games|||August|Real-time strategy, role-playing video game, FPS|Single player Multiplayer|
2467|Third Wire Productions|G2 Games|Strike Fighters||2006|Flight simulation|Single player, Online Multiplayer|
2468|Grubby Games (PC)Replay Games & Steel Penny Games (Wii)|Grubby Games|||October|Breakout|Single player|
2469|Bugbear Entertainment|Empire Interactive|||January|Racing,Action|Single-player, multiplayer|
2470|Emily Short|Self published|Glulx||2006|Interactive Fiction, Adventure|Single player|
2471|Thatgamecompany|Sony Computer Entertainment|PhyreEngine||February|Life simulation|"
Single-player
multiplayer (PS versions)
"|
2472|Monkey Bar Games (PS2, GCN)Art Co., Ltd (NDS)Altron (GBA)|D3 Publisher|Vicious Engine||June|Action-adventure game|Single-player, multiplayer|
2473||Sega|||October|Sports Management|Single-player, multiplayer using TCP/IP, wi-fi (PSP only), Xbox Live (Xbox 360 only), or Hotseat mode|Football Manager
2474|Project Siren|Sony Computer Entertainment|||February|Survival horror, stealth|Single-player|
2475|Razorworks|Empire InteractiveEidos Interactive (PSP)|||September|Racing|Single-player|
2476|Western Civilization Software|Matrix Games|||November|Turn-based strategyWargame|Single-player, multiplayer|
2477||||||||
2478|SCE Studio Liverpool|Sony Computer Entertainment|||July|Sim racing|Single-playerMultiplayer|Formula One 
2479|SCE Studio Liverpool|Sony Computer Entertainment|||January|Sim racing|Single-player, Online Multiplayer|Formula One 
2480|Taito|NA: NatsumePAL: Zoo Digital Publishing|||February|Air Combat|Single-player, multiplayer, online multiplayer|
2481||1C Company|||? (NA), 2006 (EU)|Strategy, simulation|Single-player|
2482|Vanpool|Nintendo|||September|Adventure game|Single-player|The Legend of Zelda
2483|Unreal Voodoo||XNA Game Studio||August|Music|Single player, multiplayer (in more recent versions)|
2484|SquareSquare EnixBrownie Brown (2003–2007)|SquareSquare Enix||||"
Action role-playing
Action-adventure
Real-time strategy
"||
2485|Square Enix, MSF, Winds|Square Enix|||February|Tactical role-playing game|Single-player|Front Mission
2486|Pseudo Interactive|Sega|||February|Vehicular combat|Single player, multiplayer|Full Auto 
2487|Pseudo Interactive (PS3)Deep Fried Entertainment (PSP)|Sega|||March|Vehicular combat|Single-player, multiplayer|Full Auto 
2488|Pandemic Studios[a]|THQ|||March|Real-time tactics|Single-player, multiplayer|
2489|KOGADO Studio(Kuma-san Team)||||June|Turn-based strategy,Bishōjo game, Visual novel|Single player|Gadget Trial
2490|Stardock|StardockParadox Interactive|||February|turn-based strategy|Single-player|Galactic Civilizations 
2491||||||Comedy, Science fiction||
2492||Tri Synergy|||March|Business simulation game|Single-player|
2493|SCE London Studio|Sony Computer Entertainment|||September|Action-adventure|Single-player|
2494|Gameloft|Gameloft|||2006|Third-person shooter, action-adventure, open world, racing|Single-player|Gangstar
2495|Lucky Jump Games|The Game Factory|||May|Platform game|Single-player|
2496|Two Tribes (Nintendo DS)Asobo Studio (PlayStation 2 and Windows)|The Game Factory|||August|Action|Single-player |
2497|Epic Games[a]|Microsoft Game Studios|Unreal Engine 3||August|Third-person shooter|Single-player, multiplayer|Gears of War
2498|Spiderweb Software|Spiderweb Software|||February|Role-playing|Single-player|Geneforge
2499|Game Republic|Sony Computer Entertainment|||March|Action-adventure, hack and slash|Single-player|
2500|Konami|Konami|||February|Role-playing video game|Single player|Suikoden
2501|Xbox 360TiwakUbisoft ParisRed Storm EntertainmentXboxUbisoft ShanghaiPlayStation 2Ubisoft ParisDarkworksMicrosoft WindowsGrin|Ubisoft|Diesel||March|Tactical shooter|Single-player, multiplayer|Tom Clancy's Ghost Recon
2502|||||April|2D deathmatch|Single-player, multiplayer|
2503|Moonstone|||Windows||Eroge, Visual novel||
2504|Takumi Corporation|Arcade version:Taito CorporationPS2 version:Taito Corporation505 Game Street|||February|Vertical scrolling shooter,Manic shooter|Single player, 2 player Co-op|
2505|thinkArts|JP: D3 PublisherEU: Essential Games|||June|Turn-based strategy|Single-player|Earth Defense Force
2506|Haemimont Games|"
Cdv Software Entertainment
FX Interactive
"|||June|City-Building Game|Single player|
2507|Clover Studio|Capcom|||January|Action, beat 'em up|Single-player|
2508|EA Redwood Shores (Wii, Xbox 360 & PlayStation 3)Headgate Studios (Microsoft Windows)Page 44 Studios (PlayStation 2, PlayStation Portable & Xbox)|Electronic Arts|||March|Action-adventure|Single-player, multiplayer[a]|
2509|Bandai|Bandai|||JP: 2006-04-20|Fighting|Players: 1-2|
2510|Piranha Bytes|EU: JoWooD ProductionsEU: Deep SilverAU: AuranNA: Aspyr Media|||October|Action role-playing|Single-player|Gothic
2511|Polyphony Digital|Sony Computer Entertainment|Gran Turismo 4 ||March|Sim racing|Single-player|Gran Turismo
2512|IMC Games Co.,Ltd.|KOR: HanbitSoftEU: EuroGamezNA: T3FunSEA: IMC Games|PathEngine [1]Tree Rendering - SpeedTreeAnimation - EmotionFX||February|Fantasy MMORPG|Multiplayer|
2513|Rockstar LeedsRockstar North|Rockstar Games|||March|Action-adventure|Single-player, multiplayer (PSP)|Grand Theft Auto
2514|High Voltage Software Full Fat (Game Boy Advance)|Midway Games|||March|Fighting|Single-player, multiplayer|
2515|Career Soft|JP: AtlusNA: Atlus USAEU: Rising Star Games|||June|Tactical role-playing|Single-player|Growlanser
2516|MTO|UbisoftMTO (Japan)|||January|Racing|Single-player, Multiplayer|
2517|Blimey! Games, SimBin||ISImotor||September|Racing simulation|Single-player, multiplayer|
2518|4HEAD Studios|AspyrJoWooD ProductionsDeep SilverGame Factory Interactive|Gamebryo engine||September|Life simulation|Multiplayersingle-player |The Guild
2519|ArenaNet|NCSOFT|||April|Action RPGCORPG|Multiplayer|Guild Wars
2520|ArenaNet|NCSOFT|||April|Action role-playing game|Multiplayer|Guild Wars
2521|Arc System Works|JP: Arc System WorksNA: Majesco EntertainmentEU: THQ|||April|Fighting game|Single player, Multiplayer|Guilty Gear
2522||Majesco (NA) (EU)  Sega (JP)|||August|Fighting game|Single-player, multiplayer|Guilty Gear
2523||"
Sammy Studios

JP: Sammy Studios (Arcade, PS2)
JP: Microsoft Game Studios (Xbox)
JP: Media Kite (Win)
JP: Sega (PSP)
NA: Majesco Entertainment (Xbox)
EU: Zoo Digital Publishing (Win, Xbox, PS2)

"|||March|2D weapon based fighting|Single-player, Multiplayer|Guilty Gear
2524|Harmonix|RedOctane (PS2)Activision (X360)|||April|Music, Rhythm|Single-player, multiplayer|Guitar Hero
2525|Cinemax|Cinemax|||July|Arcade game|Single player|
2526|Koto LaboratoryQ EntertainmentArt Co., LtdTOSE Co. Ltd|BandaiBandai Namco Entertainment||||Puzzle||
2527|NHN Corp.[1]|NHN Corp.|||September|2D Run and gun|Singleplayer, Multiplayer|
2528|Makura|||Windows, PlayStation 2||Eroge, Visual novel||
2529|CyberConnect2|JP: BandaiBandai Namco GamesWW: Bandai Namco Entertainment||||Action role-playing||
2530|Valve Corporation|Valve Corporation|Source||May|First-person shooter|Single-player|Half-Life
2531||PopCap Games|PopCap Games Framework||May|Arcade|Single player|
2532|MTO|Ubisoft|||November|Simulation|Single player|
2533|Windmill|||Windows, PlayStation 2||Eroge, Visual novel||
2534|Artificial Mind and Movement|Midway Games|||November|Action-adventure|Single-player, multiplayer|
2535|"
List
MumboJumbo (computer versions)Jamdat Mobile (mobile version)FarSight Studios (PlayStation versions)

"|"
List
Jamdat Mobile (Windows and mobile versions)MacPlay (Macintosh)PlayStation versionsCrave Entertainment (North America)Oxygen Games (Europe)

"|||January|Gambling|Single-player, Multiplayer|
2536|Full FatDSI Games|DSI GamesZoo Digital Publishing|||October|Sports|Single player|
2537|Ruby Party|||PlayStation Vita||Visual novel||
2538|BaseSon|||Windows||Eroge, Visual novel, Romance, Comedy||
2539||Mgame USA Inc.|||2006|MMORPG|MMO|
2540|GSC Game World|GSC World Publishing|||October|Real-time strategy, action role-playing|Single-player, multiplayer|
2541|Nival InteractiveFreeverse Software (OS X)|Ubisoft|Silent Storm Engine||May|Turn-based strategy, role-playing|Single-player, multiplayer|Heroes of Might and Magic
2542|Nival Interactive[1]|Ubisoft[1]|||November|Turn-based strategy game|Single player, single-system multiplayer, and network play|Heroes of Might and Magic
2543|Sensory Sweep Studios|D3 Publisher|||April|Action|Single-player, cooperative multiplayer|
2544|Big Fish Games, Flood Light Games, Eipix Entertainment|Big Fish Games||||||
2545|Twilight FrontierCavia (PSP)|Twilight FrontierAlchemist (PSP)|||April|Third-person shooter|1-4 players|
2546|Idea Factory|||PS2, NDS, PSP||Otome game, Visual novel||
2547|Cauldron HQ|Activision Value|CloakNT||November|First-person shooter|Single player|
2548|IO Interactive|Eidos Interactive|||May|Stealth|Single-player|Hitman
2549|Hudson Soft|JP: Hudson SoftNA: KonamiEU: Rising Star Games|||March|Puzzle|Single player|
2550||||||||
2551|Horseland LLC|Horseland LLC|||September|Sim horse game Digital Pet|Multiplayer|
2552|MTO|Ubisoft|||July|Strategy|Single player|Petz
2553|Eutechnyx|Global Star Software|||April|Racing|Players: 1-2|
2554||Gabitasoft Entertainment|Morningstar3D Engine||September|Racing|Single-player, multiplayer|
2555|Regista|GN Software, Asgard|||January|Visual novel|Single-player|
2556|Eurocom (Console and Windows)Amaze Entertainment (DS, GBA)|Vivendi Universal Games[a]|||February|Platformer, Action-adventure game, Minigame compilation|Single-player|
2557|1C:Maddox Games|Ubisoft|||March|Combat flight simulator||
2558|Genki|Ubisoft|||July|Racing|Single-player, Multiplayer|Shutokō Battle series
2559|Roxor Games|RedOctane|StepMania||June|Music, Exercise|Single-player, Multiplayer|In the Groove
2560||game & game|SpeedTree||October|Action|Multiplayer|
2561|ArtePiazza|JP: Marvelous InteractiveNA: NatsumePAL: Rising Star Games|||February|Simulation/role-playing|Single-player|
2562|Q-Games|Nintendo|||October|Puzzle|Single-player|Art Style
2563|ASCII Media Works|||Nintendo DS||Sound novel||
2564|Konami|Konami|||January|Action RPG|Single player|
2565|Success, Ninja Studio|JP: SuccessNA: AtlusEU: 505 Games|||February|Action role-playing, dungeon crawl|Single-player|
2566|Appaloosa Interactive|Majesco EntertainmentEU: THQ|||May|Action-adventure|Single player|
2567|Level-5[a]|Sony Computer Entertainment|||August|Tactical role-playing|Single-player|
2568||HD Publishing Sierra Entertainment|||September|Real-time tactics|Single player, Multiplayer & co-op|
2569|Juice Games|THQ|||June|Street racing|Single-player, multiplayer (1-6)|
2570|Ganbarion|Nintendo|||November|2D versus fighting|Single-player, multiplayer|
2571|Avalanche Studios|Eidos Interactive|Avalanche Engine ||September|Action-adventure|Single-player|Just Cause
2572|Snowblind Studios|Warner Bros. Games (NA)Eidos Interactive (PAL)|Dark Alliance Engine||October|Action role-playing|Single-player, multiplayer|
2573|WayForward Technologies|NA: Warner Bros. GamesPAL: Eidos Interactive[1]|||October|Action, platform|Single player|
2574||Storm Eagle Studios|||2006|Ship simulation, strategy|Single-player, Multi-player|
2575||Magmic Inc.|||NA: 2006|Puzzle||
2576|Son Işık Ltd.|TUR: VestelOther regions: Merscom|Gamestudio||December|Survival horror, Third Person Shooter|Single-player|
